"","gbifID","occurrenceID","occurrenceStatus","year","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","species","acceptedScientificName"
"1",5104736468,"https://www.inaturalist.org/observations/266816357","PRESENT",2025,43.699085,-79.336678,6,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"2",5104552176,"https://www.inaturalist.org/observations/266605246","PRESENT",2025,43.723152,-79.311684,14,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"3",5087850463,"https://www.inaturalist.org/observations/265112437","PRESENT",2025,43.779603,-79.382211,5,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"4",5063803423,"https://www.inaturalist.org/observations/260539708","PRESENT",2023,43.641513,-79.462738,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"5",5008198969,"https://www.inaturalist.org/observations/221638315","PRESENT",2024,43.648033,-79.49537,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"6",5007836530,"https://www.inaturalist.org/observations/257350391","PRESENT",2024,43.696905,-79.464055,8,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"7",5007815093,"https://www.inaturalist.org/observations/241054924","PRESENT",2024,43.70813,-79.506447,6,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"8",5007375722,"https://www.inaturalist.org/observations/82771416","PRESENT",2021,43.724487,-79.364297,6,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"9",4987805105,"https://www.inaturalist.org/observations/95161104","PRESENT",2021,43.732505,-79.37697,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"10",4980551347,"https://www.inaturalist.org/observations/251003874","PRESENT",2024,43.627026,-79.714256,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"11",4954412460,"https://www.inaturalist.org/observations/246935104","PRESENT",2024,43.843383,-79.192878,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"12",4946299209,"https://www.inaturalist.org/observations/211883988","PRESENT",2024,43.771708,-79.458162,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"13",4946266138,"https://www.inaturalist.org/observations/162773986","PRESENT",2023,43.763697,-79.443987,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"14",4946168561,"https://www.inaturalist.org/observations/239986802","PRESENT",2024,43.682716,-79.41229,16,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"15",4946009195,"https://www.inaturalist.org/observations/240697761","PRESENT",2024,43.875894,-79.489021,3,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"16",4945989952,"https://www.inaturalist.org/observations/240584981","PRESENT",2024,43.811859,-79.150351,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"17",4945786017,"https://www.inaturalist.org/observations/171600717","PRESENT",2023,43.776753,-79.369094,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"18",4945589229,"https://www.inaturalist.org/observations/171808387","PRESENT",2023,43.770817,-79.361764,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"19",4936932450,"https://www.inaturalist.org/observations/238688235","PRESENT",2024,43.732323,-79.359244,7,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"20",4936929800,"https://www.inaturalist.org/observations/239473231","PRESENT",2024,44.007786,-79.087825,9,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"21",4936536437,"https://www.inaturalist.org/observations/238627649","PRESENT",2024,43.872418,-79.139322,3,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"22",4936363803,"https://www.inaturalist.org/observations/233482374","PRESENT",2024,43.713689,-79.319463,8,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"23",4936164454,"https://www.inaturalist.org/observations/239506143","PRESENT",2024,43.821608,-79.588905,7,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
"24",4936108532,"https://www.inaturalist.org/observations/238691427","PRESENT",2024,43.735289,-79.357693,4,"Vincetoxicum rossicum","Vincetoxicum rossicum (Kleopow) Barbar."
